data_curva,dias_uteis,taxa_252
01/12/2025,1752.0,12.96
01/12/2025,1765.0,12.97
01/12/2025,1800.0,12.98
01/12/2025,1813.0,12.99
01/12/2025,1843.0,13.0
01/12/2025,1858.0,13.0
01/12/2025,1904.0,13.02
01/12/2025,1934.0,13.03
01/12/2025,1991.0,13.04
01/12/2025,2009.0,13.05
01/12/2025,2025.0,13.05
01/12/2025,2083.0,13.07
01/12/2025,2100.0,13.08
01/12/2025,2116.0,13.08
01/12/2025,2160.0,13.09
01/12/2025,2177.0,13.1
01/12/2025,2223.0,13.11
01/12/2025,2268.0,13.11
01/12/2025,2359.0,13.13
01/12/2025,2450.0,13.14
01/12/2025,2520.0,13.14
01/12/2025,2542.0,13.15
01/12/2025,2590.0,13.15
01/12/2025,2633.0,13.15
01/12/2025,2723.0,13.16
01/12/2025,2814.0,13.16
01/12/2025,2880.0,13.17
01/12/2025,2907.0,13.17
01/12/2025,2954.0,13.17
01/12/2025,2998.0,13.17
01/12/2025,3087.0,13.17
01/12/2025,3179.0,13.18
01/12/2025,3241.0,13.18
01/12/2025,3272.0,13.18
01/12/2025,3319.0,13.18
01/12/2025,3363.0,13.17
01/12/2025,3452.0,13.17
01/12/2025,3544.0,13.16
01/12/2025,3600.0,13.16
01/12/2025,3637.0,13.15
01/12/2025,3684.0,13.15
01/12/2025,3728.0,13.15
01/12/2025,3818.0,13.15
01/12/2025,3910.0,13.15
01/12/2025,3962.0,13.15
01/12/2025,4004.0,13.15
01/12/2025,4050.0,13.15
01/12/2025,4097.0,13.14
01/12/2025,4183.0,13.12
01/12/2025,4277.0,13.11
01/12/2025,4320.0,13.1
01/12/2025,4368.0,13.09
01/12/2025,4417.0,13.09
01/12/2025,4459.0,13.08
01/12/2025,4550.0,13.07
01/12/2025,4641.0,13.05
01/12/2025,4680.0,13.05
01/12/2025,4733.0,13.04
01/12/2025,4781.0,13.04
01/12/2025,4824.0,13.04
01/12/2025,4914.0,13.03
01/12/2025,5005.0,13.03
01/12/2025,5040.0,13.03
01/12/2025,5098.0,13.03
01/12/2025,5145.0,13.03
01/12/2025,5189.0,13.03
01/12/2025,5279.0,13.03
01/12/2025,5371.0,13.03
01/12/2025,5400.0,13.03
01/12/2025,5464.0,13.03
01/12/2025,5555.0,13.02
01/12/2025,5580.0,13.02
01/12/2025,5644.0,13.02
01/12/2025,5736.0,13.02
01/12/2025,5831.0,13.02
01/12/2025,5924.0,13.02
01/12/2025,6009.0,13.02
01/12/2025,6101.0,13.02
01/12/2025,6195.0,13.01
01/12/2025,6286.0,13.01
01/12/2025,6374.0,13.01
01/12/2025,6468.0,13.01
01/12/2025,6559.0,13.01
01/12/2025,6650.0,13.01
01/12/2025,6741.0,13.01
01/12/2025,6832.0,13.01
01/12/2025,6925.0,13.01
01/12/2025,7016.0,13.01
01/12/2025,7105.0,13.01
01/12/2025,7197.0,13.0
01/12/2025,7200.0,13.0
01/12/2025,7381.0,13.0
01/12/2025,7562.0,13.0
01/12/2025,7746.0,13.0
01/12/2025,7927.0,13.0
01/12/2025,8115.0,13.0
01/12/2025,8295.0,13.0
01/12/2025,8477.0,12.99
01/12/2025,8659.0,12.99
01/12/2025,8842.0,12.99
01/12/2025,9002.0,12.99
01/12/2025,9023.0,12.99
01/12/2025,10759.0,12.98
01/12/2025,10801.0,12.98
01/12/2025,12677.0,12.98
02/10/2025,1.0,14.9
02/10/2025,7.0,14.91
02/10/2025,11.0,14.91
02/10/2025,13.0,14.91
02/10/2025,14.0,14.91
02/10/2025,15.0,14.91
02/10/2025,21.0,14.91
02/10/2025,27.0,14.91
02/10/2025,28.0,14.91
02/10/2025,29.0,14.91
02/10/2025,32.0,14.91
02/10/2025,41.0,14.9
02/10/2025,46.0,14.9
02/10/2025,47.0,14.9
02/10/2025,48.0,14.9
02/10/2025,50.0,14.9
02/10/2025,55.0,14.9
02/10/2025,56.0,14.9
02/10/2025,57.0,14.9
02/10/2025,60.0,14.9
02/10/2025,71.0,14.9
02/10/2025,74.0,14.9
02/10/2025,75.0,14.9
02/10/2025,76.0,14.9
02/10/2025,77.0,14.9
02/10/2025,78.0,14.9
02/10/2025,82.0,14.9
02/10/2025,85.0,14.9
02/10/2025,88.0,14.9
02/10/2025,89.0,14.9
02/10/2025,90.0,14.9
02/10/2025,92.0,14.9
02/10/2025,104.0,14.89
02/10/2025,105.0,14.89
02/10/2025,109.0,14.89
02/10/2025,111.0,14.89
02/10/2025,112.0,14.89
02/10/2025,120.0,14.89
02/10/2025,123.0,14.89
02/10/2025,139.0,14.88
02/10/2025,140.0,14.88
02/10/2025,146.0,14.87
02/10/2025,147.0,14.87
02/10/2025,148.0,14.87
02/10/2025,151.0,14.87
02/10/2025,165.0,14.85
