dias_uteis;media_global_obs;dp_entre_dias_obs;media_global_CubicSpline;dp_entre_dias_CubicSpline;media_global_B_Spline_(Ridge);dp_entre_dias_B_Spline_(Ridge);media_global_NSSplusL_BFGS_B;dp_entre_dias_NSSplusL_BFGS_B;media_global_GAtoNSSplusL_BFGS_B;dp_entre_dias_GAtoNSSplusL_BFGS_B
78;14,878043010752688;0,01869807003081428;14,878371103585637;0,019777372475705737;14,87227204072702;0,04062699745104895;14,88942963996262;0,054092928545062924;14,889680887078836;0,05434269514269906
79;14,876844662058373;0,019521517760192883;14,877481461568733;0,020405246068116355;14,870941861128538;0,04145382088453603;14,88506733642571;0,054680603401077214;14,885315306675421;0,05492589519166795
80;14,875896985407069;0,02008467730400987;14,876571726504205;0,02104159488626672;14,8695931470191;0,04227844430360083;14,88071306925629;0,055268858120064226;14,880957768987509;0,05550971242463053
81;14,875075268817207;0,020524166954246283;14,875641858079707;0,021686257911412817;14,86822597124299;0,043100867796746455;14,87636682727194;0,05585760896592783;14,876608262844725;0,05609406292176034
82;14,874131688428063;0,021044698424678404;14,874691815982887;0,022338983119683683;14,866840406644542;0,04392109196071482;14,872028599303636;0,05644677605377726;14,872266777090045;0,05667886656757159
83;14,87322507040451;0,021569827645115523;14,873721559901389;0,022999435946964616;14,865436526068034;0,04473911787407737;14,867698374195768;0,05703628314262585;14,86793330057976;0,05726404686497999
84;14,87224078341014;0,022349962243765873;14,872731049522873;0,02366720829313219;14,864014402357784;0,04555494702817468;14,86337614080607;0,057626057460553715;14,86360782218344;0,057849530758902756
85;14,870724526369688;0,02340491151327038;14,871720244534979;0,02434182801706551;14,862574108358093;0,04636858129601041;14,859061888005657;0,05821602953532345;14,859290330783988;0,05843524845286747
86;14,869542274705584;0,02404734466593631;14,870689104625354;0,025022768577773222;14,861115716913263;0,04718002289922097;14,85475560467899;0,058806133016457214;14,854980815277555;0,05902113326502994
87;14,86851660906298;0,02479050087546238;14,869637589481654;0,02570945880745684;14,859639300867604;0,04798927436502648;14,850457279723864;0,05939630453018814;14,850679264573564;0,05960712146858662
88;14,867471742191508;0,025497084736898608;14,868565658791518;0,026401292677573886;14,858144933065422;0,04879633850108392;14,846166902051383;0,05998648353458977;14,846385667594662;0,060193152152242066
